department,relatedTo,name,licensePeriod,material,licenseType,link,comment
kessler,stuff,@angular/common,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/compiler,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/core,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/forms,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/platform-browser,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/platform-browser-dynamic,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@angular/router,perpetual,material,MIT,git+https://github.com/angular/angular.git,7.1.0
kessler,stuff,@fortawesome/angular-fontawesome,perpetual,material,MIT,git+https://github.com/FortAwesome/angular-fontawesome.git,0.3.0
kessler,stuff,@fortawesome/fontawesome-svg-core,perpetual,material,MIT,git+https://github.com/FortAwesome/Font-Awesome.git,1.2.8
kessler,stuff,@fortawesome/free-solid-svg-icons,perpetual,material,(CC-BY-4.0 AND MIT),git+https://github.com/FortAwesome/Font-Awesome.git,5.5.0
kessler,stuff,@ng-bootstrap/ng-bootstrap,perpetual,material,MIT,git+https://github.com/ng-bootstrap/ng-bootstrap.git,4.0.0
kessler,stuff,bootstrap,perpetual,material,MIT,git+https://github.com/twbs/bootstrap.git,4.1.3
kessler,stuff,core-js,perpetual,material,MIT,git+https://github.com/zloirock/core-js.git,2.5.7
kessler,stuff,moment,perpetual,material,MIT,git+https://github.com/moment/moment.git,2.22.2
kessler,stuff,ng-jhipster,perpetual,material,Apache-2.0,git+https://github.com/jhipster/ng-jhipster.git,0.5.6
kessler,stuff,ngx-cookie,perpetual,material,MIT,git+https://github.com/salemdar/ngx-cookie.git,2.0.1
kessler,stuff,ngx-infinite-scroll,perpetual,material,MIT,git+https://github.com/orizens/ngx-infinite-scroll.git,6.0.1
kessler,stuff,ngx-webstorage,perpetual,material,MIT,git+https://github.com/PillowPillow/ng2-webstorage.git,2.0.1
kessler,stuff,rxjs,perpetual,material,Apache-2.0,git+https://github.com/reactivex/rxjs.git,6.3.3
kessler,stuff,swagger-ui,perpetual,material,Apache-2.0,git+https://github.com/swagger-api/swagger-ui.git,2.2.10
kessler,stuff,sockjs-client,perpetual,material,MIT,git+https://github.com/sockjs/sockjs-client.git,1.3.0
kessler,stuff,webstomp-client,perpetual,material,Apache-2.0,git+https://github.com/JSteunou/webstomp-client.git,1.2.6
kessler,stuff,tslib,perpetual,material,Apache-2.0,git+https://github.com/Microsoft/tslib.git,1.9.3
kessler,stuff,zone.js,perpetual,material,MIT,git://github.com/angular/zone.js.git,0.8.26
